"","st_cd_fips","year","...1.x","pollster","sponsors","display_name","fte_grade","start_date","end_date","sample_size","population","election_date","candidate_name","state.x","st_fips.x","cd_fips","dem_cand","rep_cand","DEM","REP","...1.y","...2.x","cd","state.y","cvap","moe","...1","...2.y","office","state","st_fips.y","district_num","district_id","winner_party","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","RepVotesMajorPercent","DemVotesMajorPercent","winner_candidate","winner_candidate_inc","president_party"
"19","0408",2018,1245,"OH Predictive Insights / MBQF",NA,"OH Predictive Insights","B/C","4/11/18","4/11/18",500,"lv","4/24/18","Debbie Lesko","Arizona","04","08","Lisa Brown","Debbie Lesko","38","53",1324,1324,"8","Arizona",576753,3582,452,452,"House","Arizona","04","08","AZ08","R",168835,"Lesko, Debbie","Incumbent",135569,"Tipirneni, Hiral","Challenger",55.46,44.54,"RepCandidate","Incumbent","R"
"20","0408",2018,1229,"Emerson College Polling Society",NA,"Emerson College","A-","4/19/18","4/22/18",400,"lv","4/24/18","Debbie Lesko","Arizona","04","08","Kim Schrier","Debbie Lesko","45","49",1324,1324,"8","Arizona",576753,3582,452,452,"House","Arizona","04","08","AZ08","R",168835,"Lesko, Debbie","Incumbent",135569,"Tipirneni, Hiral","Challenger",55.46,44.54,"RepCandidate","Incumbent","R"
"21","0408",2018,1242,"Lake Research",NA,"Lake Research Partners","A/B","4/14/18","4/16/18",408,"rv","4/24/18","Debbie Lesko","Arizona","04","08","Hiral Tipirneni","Debbie Lesko","42","46",1324,1324,"8","Arizona",576753,3582,452,452,"House","Arizona","04","08","AZ08","R",168835,"Lesko, Debbie","Incumbent",135569,"Tipirneni, Hiral","Challenger",55.46,44.54,"RepCandidate","Incumbent","R"
"22","0408",2018,906,"Lake Research",NA,"Lake Research Partners","A/B","9/24/18","9/26/18",400,"lv","11/6/18","Hiral Tipirneni","Arizona","04","08","Hiral Tipirneni","Debbie Lesko","44","48",1324,1324,"8","Arizona",576753,3582,452,452,"House","Arizona","04","08","AZ08","R",168835,"Lesko, Debbie","Incumbent",135569,"Tipirneni, Hiral","Challenger",55.46,44.54,"RepCandidate","Incumbent","R"
"23","0408",2018,1244,"Emerson College Polling Society",NA,"Emerson College","A-","4/12/18","4/15/18",400,"lv","4/24/18","Debbie Lesko","Arizona","04","08","Hiral Tipirneni","Debbie Lesko","43","45",1324,1324,"8","Arizona",576753,3582,452,452,"House","Arizona","04","08","AZ08","R",168835,"Lesko, Debbie","Incumbent",135569,"Tipirneni, Hiral","Challenger",55.46,44.54,"RepCandidate","Incumbent","R"
"24","0408",2018,1250,"KG Polling",NA,"KG Polling","F","3/13/18","3/19/18",600,"lv","4/24/18","Debbie Lesko","Arizona","04","08","Daniel Kent McCready","Debbie Lesko","44","48",1324,1324,"8","Arizona",576753,3582,452,452,"House","Arizona","04","08","AZ08","R",168835,"Lesko, Debbie","Incumbent",135569,"Tipirneni, Hiral","Challenger",55.46,44.54,"RepCandidate","Incumbent","R"
"25","0501",2018,1048,"Hendrix College","Talk Business & Politics","Hendrix College","B/C","9/5/18","9/7/18",422,"lv","11/6/18","Chintan Desai","Arkansas","05","01","Chintan Desai","Rick Crawford","22","57",1326,1326,"1","Arkansas",546407,1074,454,454,"House","Arkansas","05","01","AR01","R",138757,"Crawford, Rick","Incumbent",57907,"Desai, Chintan","Challenger",70.56,29.44,"RepCandidate","Incumbent","R"
"26","0502",2018,1049,"Hendrix College","Talk Business & Politics","Hendrix College","B/C","9/5/18","9/7/18",428,"lv","11/6/18","Clarke Tucker","Arkansas","05","02","Clarke Tucker","French Hill","40.5","49.5",1327,1327,"2","Arkansas",563787,1194,455,455,"House","Arkansas","05","02","AR02","R",132125,"Hill, French","Incumbent",116135,"Tucker, Clarke","Challenger",53.22,46.78,"RepCandidate","Incumbent","R"
"27","0502",2018,1231,"PPP","Patriot Majority USA","Public Policy Polling","A-","4/16/18","4/17/18",610,"v","11/6/18","French Hill","Arkansas","05","02","Brendan Kelly","French Hill","39","47",1327,1327,"2","Arkansas",563787,1194,455,455,"House","Arkansas","05","02","AR02","R",132125,"Hill, French","Incumbent",116135,"Tucker, Clarke","Challenger",53.22,46.78,"RepCandidate","Incumbent","R"
"28","0502",2018,721,"Hendrix College","Talk Business & Politics","Hendrix College","B/C","10/17/18","10/18/18",590,"lv","11/6/18","Clarke Tucker","Arkansas","05","02","Clarke Tucker","French Hill","39.5","51.5",1327,1327,"2","Arkansas",563787,1194,455,455,"House","Arkansas","05","02","AR02","R",132125,"Hill, French","Incumbent",116135,"Tucker, Clarke","Challenger",53.22,46.78,"RepCandidate","Incumbent","R"
"29","0502",2020,342,"Hendrix College","Talk Business & Politics","Hendrix College","B/C","9/4/20","9/9/20",698,"lv","11/3/20","French Hill","Arkansas","05","02","Marie Newman","French Hill","46.1","47.5",2199,2199,"2","Arkansas",569302,1315,19,19,"House","Arkansas","05","02","AR02","R",184093,"Hill, French","Incumbent",148410,"Elliott, Joyce","Challenger",55.37,44.63,"RepCandidate","Incumbent","D"
"30","0502",2020,162,"Change Research",NA,"Change Research","B-","10/29/20","11/2/20",586,"lv","11/3/20","French Hill","Arkansas","05","02","Jared Forrest Golden","French Hill","53","48",2199,2199,"2","Arkansas",569302,1315,19,19,"House","Arkansas","05","02","AR02","R",184093,"Hill, French","Incumbent",148410,"Elliott, Joyce","Challenger",55.37,44.63,"RepCandidate","Incumbent","D"
"31","0502",2020,293,"Anzalone Liszt Grove",NA,"ALG Research","B/C","9/27/20","9/29/20",511,"lv","11/3/20","French Hill","Arkansas","05","02","Xochitl Torres Small","French Hill","47","48",2199,2199,"2","Arkansas",569302,1315,19,19,"House","Arkansas","05","02","AR02","R",184093,"Hill, French","Incumbent",148410,"Elliott, Joyce","Challenger",55.37,44.63,"RepCandidate","Incumbent","D"
"32","0502",2020,196,"Anzalone Liszt Grove",NA,"ALG Research","B/C","10/16/20","10/21/20",500,"lv","11/3/20","French Hill","Arkansas","05","02","Carolyn Long","French Hill","47","47",2199,2199,"2","Arkansas",569302,1315,19,19,"House","Arkansas","05","02","AR02","R",184093,"Hill, French","Incumbent",148410,"Elliott, Joyce","Challenger",55.37,44.63,"RepCandidate","Incumbent","D"
"33","0502",2020,332,"Anzalone Liszt Grove",NA,"ALG Research","B/C","9/9/20","9/13/20",511,"lv","11/3/20","French Hill","Arkansas","05","02","Ben McAdams","French Hill","45","50",2199,2199,"2","Arkansas",569302,1315,19,19,"House","Arkansas","05","02","AR02","R",184093,"Hill, French","Incumbent",148410,"Elliott, Joyce","Challenger",55.37,44.63,"RepCandidate","Incumbent","D"
"34","0502",2020,234,"Hendrix College","Talk Business & Politics","Hendrix College","B/C","10/11/20","10/13/20",644,"lv","11/3/20","French Hill","Arkansas","05","02","Ammar Campa-Najjar","French Hill","42","46",2199,2199,"2","Arkansas",569302,1315,19,19,"House","Arkansas","05","02","AR02","R",184093,"Hill, French","Incumbent",148410,"Elliott, Joyce","Challenger",55.37,44.63,"RepCandidate","Incumbent","D"
"35","0502",2020,473,"Anzalone Liszt Grove",NA,"ALG Research","B/C","6/18/20","6/24/20",501,"lv","11/3/20","French Hill","Arkansas","05","02","Kristy Marie Gnibus","French Hill","40","50",2199,2199,"2","Arkansas",569302,1315,19,19,"House","Arkansas","05","02","AR02","R",184093,"Hill, French","Incumbent",148410,"Elliott, Joyce","Challenger",55.37,44.63,"RepCandidate","Incumbent","D"
"36","0502",2020,324,"brilliant corners Research & Strategies","Emily's List | House Majority PAC | National Education Association | Black PAC","brilliant corners Research & Strategies","B/C","9/10/20","9/16/20",605,"lv","11/3/20","French Hill","Arkansas","05","02","Amy Kennedy","French Hill","48","46",2199,2199,"2","Arkansas",569302,1315,19,19,"House","Arkansas","05","02","AR02","R",184093,"Hill, French","Incumbent",148410,"Elliott, Joyce","Challenger",55.37,44.63,"RepCandidate","Incumbent","D"
"37","0503",2018,1050,"Hendrix College","Talk Business & Politics","Hendrix College","B/C","9/5/18","9/7/18",428,"lv","11/6/18","Josh Mahony","Arkansas","05","03","Josh Mahony","Steve Womack","31","53",1328,1328,"3","Arkansas",550216,1871,456,456,"House","Arkansas","05","03","AR03","R",148717,"Womack, Steve","Incumbent",74952,"Mahony, Joshua","Challenger",66.49,33.51,"RepCandidate","Incumbent","R"
"38","0504",2018,1051,"Hendrix College","Talk Business & Politics","Hendrix College","B/C","9/5/18","9/7/18",423,"lv","11/6/18","Hayden Shamel","Arkansas","05","04","Hayden Shamel","Bruce Westerman","24","54",1329,1329,"4","Arkansas",535460,1388,457,457,"House","Arkansas","05","04","AR04","R",136740,"Westerman, Bruce","Incumbent",63984,"Shamel, Hayden","Challenger",68.12,31.88,"RepCandidate","Incumbent","R"
"39","0601",2020,269,"Lake Research",NA,"Lake Research Partners","A/B","10/1/20","10/4/20",400,"lv","11/3/20","Doug LaMalfa","California","06","01","Alan M. Cohn","Doug LaMalfa","39","49",2202,2202,"1","California",543723,2208,22,22,"House","California","06","01","CA01","R",204190,"LaMalfa, Doug","Incumbent",154073,"Denney, Audrey","Challenger",56.99,43.01,"RepCandidate","Incumbent","D"
"40","0601",2020,478,"Lake Research",NA,"Lake Research Partners","A/B","6/10/20","6/14/20",500,"lv","11/3/20","Doug LaMalfa","California","06","01","Christina M. Finello","Doug LaMalfa","46","46",2202,2202,"1","California",543723,2208,22,22,"House","California","06","01","CA01","R",204190,"LaMalfa, Doug","Incumbent",154073,"Denney, Audrey","Challenger",56.99,43.01,"RepCandidate","Incumbent","D"
"41","0604",2018,748,"Clarity",NA,"Clarity Campaign Labs","B/C","10/15/18","10/16/18",840,"lv","11/6/18","Jessica Morse","California","06","04","Jessica Morse","Tom McClintock","45","49",1333,1333,"4","California",555490,2207,461,461,"House","California","06","04","CA04","R",184401,"McClintock, Tom","Incumbent",156253,"Morse, Jessica","Challenger",54.13,45.87,"RepCandidate","Incumbent","R"
"42","0604",2020,435,"Lake Research",NA,"Lake Research Partners","A/B","7/22/20","7/25/20",650,"lv","11/3/20","Tom McClintock","California","06","04","Jared Forrest Golden","Tom McClintock","45","45",2205,2205,"4","California",571765,2516,25,25,"House","California","06","04","CA04","R",247291,"McClintock, Tom","Incumbent",194731,"Kennedy, Brynne S.","Challenger",55.95,44.05,"RepCandidate","Incumbent","D"
"43","0604",2020,231,"Lake Research",NA,"Lake Research Partners","A/B","10/12/20","10/14/20",958,"lv","11/3/20","Tom McClintock","California","06","04","Gilbert Cisneros","Tom McClintock","46","49",2205,2205,"4","California",571765,2516,25,25,"House","California","06","04","CA04","R",247291,"McClintock, Tom","Incumbent",194731,"Kennedy, Brynne S.","Challenger",55.95,44.05,"RepCandidate","Incumbent","D"
"44","0604",2020,492,"Lake Research",NA,"Lake Research Partners","A/B","4/26/20","5/4/20",2196,"lv","11/3/20","Tom McClintock","California","06","04","Kate Schroder","Tom McClintock","43","46",2205,2205,"4","California",571765,2516,25,25,"House","California","06","04","CA04","R",247291,"McClintock, Tom","Incumbent",194731,"Kennedy, Brynne S.","Challenger",55.95,44.05,"RepCandidate","Incumbent","D"
"45","0607",2018,1200,"POS",NA,"Public Opinion Strategies","A-","6/12/18","6/14/18",400,"lv","11/6/18","Andrew Grant","California","06","07","Kathleen Williams","Andrew Grant","49","41",1336,1336,"7","California",526910,2725,464,464,"House","California","06","07","CA07","D",126601,"Grant, Andrew","Challenger",155016,"Bera, Ami","Incumbent",44.96,55.04,"DemCandidate","Incumbent","R"
"46","0608",2020,401,"Global Strategy Group",NA,"Global Strategy Group","B/C","8/1/20","8/5/20",400,"lv","11/3/20","Jay Obernolte","California","06","08","Amy Kennedy","Jay Obernolte","39","48",2209,2209,"8","California",482457,4327,29,29,"House","California","06","08","CA08","R",158711,"Obernolte, Jay","Challenger",124400,"Bubser, Christine","Challenger",56.06,43.94,"RepCandidate","Challenger","D"
"47","0610",2018,671,"Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/21/18","10/25/18",501,"lv","11/6/18","Josh Harder","California","06","10","Josh Harder","Jeff Denham","47.28","44.92",1339,1339,"10","California",467771,3080,467,467,"House","California","06","10","CA10","D",105955,"Denham, Jeff","Incumbent",115945,"Harder, Josh","Challenger",47.75,52.25,"DemCandidate","Challenger","R"
"48","0610",2018,950,"UC Berkeley","LA Times","University of California, Berkeley","B/C","9/16/18","9/23/18",726,"lv","11/6/18","Josh Harder","California","06","10","Josh Harder","Jeff Denham","50","45",1339,1339,"10","California",467771,3080,467,467,"House","California","06","10","CA10","D",105955,"Denham, Jeff","Incumbent",115945,"Harder, Josh","Challenger",47.75,52.25,"DemCandidate","Challenger","R"
"49","0610",2018,672,"Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/21/18","10/25/18",501,"rv","11/6/18","Josh Harder","California","06","10","Josh Harder","Jeff Denham","48.34","39.21",1339,1339,"10","California",467771,3080,467,467,"House","California","06","10","CA10","D",105955,"Denham, Jeff","Incumbent",115945,"Harder, Josh","Challenger",47.75,52.25,"DemCandidate","Challenger","R"
"50","0610",2018,1173,"Garin Hart Yang","DCCC","Garin-Hart-Yang Research Group","B-","6/27/18","7/1/18",501,"lv","11/6/18","Jeff Denham","California","06","10","Elaine G. Luria","Jeff Denham","44","48",1339,1339,"10","California",467771,3080,467,467,"House","California","06","10","CA10","D",105955,"Denham, Jeff","Incumbent",115945,"Harder, Josh","Challenger",47.75,52.25,"DemCandidate","Challenger","R"
"51","0616",2018,967,"SurveyUSA","KFSN-TV Fresno","SurveyUSA","A","9/14/18","9/19/18",515,"lv","11/6/18","Jim Costa","California","06","16","Jim Costa","Elizabeth Heng","51","40",1345,1345,"16","California",402445,3689,473,473,"House","California","06","16","CA16","D",60693,"Heng, Elizabeth","Challenger",82266,"Costa, Jim","Incumbent",42.45,57.55,"DemCandidate","Incumbent","R"
"52","0621",2018,930,"SurveyUSA","KFSN-TV Fresno","SurveyUSA","A","9/20/18","9/24/18",555,"lv","11/6/18","TJ Cox","California","06","21","TJ Cox","David G. Valadao","39","50",1350,1350,"21","California",350034,3327,478,478,"House","California","06","21","CA21","D",56377,"Valadao, David","Incumbent",57239,"Cox, T.J.","Challenger",49.62,50.38,"DemCandidate","Challenger","R"
"53","0621",2020,526,"NRCC","NRCC","NRCC",NA,"6/30/19","7/2/19",400,"lv","11/3/20","TJ Cox","California","06","21","TJ Cox","David G. Valadao","36","52",2222,2222,"21","California",362407,4276,42,42,"House","California","06","21","CA21","R",85928,"Valadao, David","Challenger",84406,"Cox, T.J.","Incumbent",50.45,49.55,"RepCandidate","Challenger","D"
"54","0621",2020,340,"American Viewpoint","Congressional Leadership Fund","American Viewpoint","B/C","9/8/20","9/10/20",400,"lv","11/3/20","David G. Valadao","California","06","21","Kendra Horn","David G. Valadao","44.2","49",2222,2222,"21","California",362407,4276,42,42,"House","California","06","21","CA21","R",85928,"Valadao, David","Challenger",84406,"Cox, T.J.","Incumbent",50.45,49.55,"RepCandidate","Challenger","D"
"55","0622",2018,1181,"PPP","End Citizens United","Public Policy Polling","A-","6/22/18","6/24/18",632,"lv","11/6/18","Devin Nunes","California","06","22","Jennifer T. Wexton","Devin Nunes","49","49",1351,1351,"22","California",470490,3290,479,479,"House","California","06","22","CA22","R",117243,"Nunes, Devin","Incumbent",105136,"Janz, Andrew","Challenger",52.72,47.28,"RepCandidate","Incumbent","R"
"56","0622",2018,1154,"Strategies 360",NA,"Strategies 360","B/C","7/12/18","7/17/18",500,"lv","11/6/18","Devin Nunes","California","06","22","Jason Crow","Devin Nunes","47","53",1351,1351,"22","California",470490,3290,479,479,"House","California","06","22","CA22","R",117243,"Nunes, Devin","Incumbent",105136,"Janz, Andrew","Challenger",52.72,47.28,"RepCandidate","Incumbent","R"
"57","0622",2018,1011,"Strategies 360",NA,"Strategies 360","B/C","9/10/18","9/13/18",402,"lv","11/6/18","Andrew Janz","California","06","22","Andrew Janz","Devin Nunes","44","50",1351,1351,"22","California",470490,3290,479,479,"House","California","06","22","CA22","R",117243,"Nunes, Devin","Incumbent",105136,"Janz, Andrew","Challenger",52.72,47.28,"RepCandidate","Incumbent","R"
"58","0622",2018,1063,"Change Research","Fight Back CA PAC","Change Research","B-","9/4/18","9/6/18",651,"lv","11/6/18","Andrew Janz","California","06","22","Andrew Janz","Devin Nunes","40","51",1351,1351,"22","California",470490,3290,479,479,"House","California","06","22","CA22","R",117243,"Nunes, Devin","Incumbent",105136,"Janz, Andrew","Challenger",52.72,47.28,"RepCandidate","Incumbent","R"
"59","0622",2018,943,"UC Berkeley","LA Times","University of California, Berkeley","B/C","9/16/18","9/23/18",912,"lv","11/6/18","Andrew Janz","California","06","22","Andrew Janz","Devin Nunes","45","53",1351,1351,"22","California",470490,3290,479,479,"House","California","06","22","CA22","R",117243,"Nunes, Devin","Incumbent",105136,"Janz, Andrew","Challenger",52.72,47.28,"RepCandidate","Incumbent","R"
"60","0622",2018,704,"Change Research","Fight Back CA PAC","Change Research","B-","10/19/18","10/21/18",840,"lv","11/6/18","Andrew Janz","California","06","22","Andrew Janz","Devin Nunes","46","51",1351,1351,"22","California",470490,3290,479,479,"House","California","06","22","CA22","R",117243,"Nunes, Devin","Incumbent",105136,"Janz, Andrew","Challenger",52.72,47.28,"RepCandidate","Incumbent","R"
"61","0622",2018,924,"SurveyUSA","KFSN-TV Fresno","SurveyUSA","A","9/20/18","9/25/18",582,"lv","11/6/18","Andrew Janz","California","06","22","Andrew Janz","Devin Nunes","41","55",1351,1351,"22","California",470490,3290,479,479,"House","California","06","22","CA22","R",117243,"Nunes, Devin","Incumbent",105136,"Janz, Andrew","Challenger",52.72,47.28,"RepCandidate","Incumbent","R"
"62","0622",2018,1144,"Tulchin Research",NA,"Tulchin Research","B/C","7/22/18","7/25/18",400,"lv","11/6/18","Devin Nunes","California","06","22","Ammar Campa-Najjar","Devin Nunes","42","48",1351,1351,"22","California",470490,3290,479,479,"House","California","06","22","CA22","R",117243,"Nunes, Devin","Incumbent",105136,"Janz, Andrew","Challenger",52.72,47.28,"RepCandidate","Incumbent","R"
"63","0622",2020,282,"Strategies 360",NA,"Strategies 360","B/C","9/29/20","10/1/20",400,"lv","11/3/20","Devin Nunes","California","06","22","Bryant Cameron Webb","Devin Nunes","45","51",2223,2223,"22","California",482747,4498,43,43,"House","California","06","22","CA22","R",170888,"Nunes, Devin","Incumbent",144251,"Arballo, Phil","Challenger",54.23,45.77,"RepCandidate","Incumbent","D"
"64","0622",2020,467,"Strategies 360",NA,"Strategies 360","B/C","6/23/20","6/29/20",400,"lv","11/3/20","Devin Nunes","California","06","22","Christina Hale","Devin Nunes","51","51",2223,2223,"22","California",482747,4498,43,43,"House","California","06","22","CA22","R",170888,"Nunes, Devin","Incumbent",144251,"Arballo, Phil","Challenger",54.23,45.77,"RepCandidate","Incumbent","D"
"65","0624",2018,1157,"Olive Tree Strategies",NA,"Olive Tree Strategies",NA,"7/12/18","7/15/18",404,"lv","11/6/18","Justin Donald Fareed","California","06","24","Rob Davidson","Justin Donald Fareed","28","46",1353,1353,"24","California",505763,2010,481,481,"House","California","06","24","CA24","D",117881,"Fareed, Justin","Challenger",166550,"Carbajal, Salud","Incumbent",41.44,58.56,"DemCandidate","Incumbent","R"
"66","0625",2018,638,"Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/25/18","10/28/18",504,"lv","11/6/18","Katie Hill","California","06","25","Katie Hill","Stephen Knight","43.98","48.4",1354,1354,"25","California",476031,3071,482,482,"House","California","06","25","CA25","D",111813,"Knight, Steve","Incumbent",133209,"Hill, Katie","Challenger",45.63,54.37,"DemCandidate","Challenger","R"
