year,state,state,district,inc_party.x,Cook,Cook_num,description,ie_num,avg_rating
2014,Alabama,AL,4,rep,Solid R,7,Currently Safe Republican,7,7
2014,Alabama,AL,5,rep,Solid R,7,Currently Safe Republican,7,7
2014,Alabama,AL,6,rep,Solid R,7,Currently Safe Republican,7,7
2016,Alabama,AL,1,rep,Solid R,7,Currently Safe Republican,7,7
2016,Alabama,AL,2,rep,Solid R,7,Currently Safe Republican,7,7
2016,Alabama,AL,3,rep,Solid R,7,Currently Safe Republican,7,7
2016,Alabama,AL,4,rep,Solid R,7,Currently Safe Republican,7,7
2016,Alabama,AL,5,rep,Solid R,7,Currently Safe Republican,7,7
2016,Alabama,AL,6,rep,Solid R,7,Currently Safe Republican,7,7
2018,Alabama,AL,1,rep,Solid R,7,Currently Safe Republican,7,7
2018,Alabama,AL,2,rep,Solid R,7,Currently Safe Republican,7,7
2018,Alabama,AL,3,rep,Solid R,7,Currently Safe Republican,7,7
2018,Alabama,AL,4,rep,Solid R,7,Currently Safe Republican,7,7
2018,Alabama,AL,5,rep,Solid R,7,Currently Safe Republican,7,7
2018,Alabama,AL,6,rep,Solid R,7,Currently Safe Republican,7,7
2020,Alabama,AL,1,rep,Solid R,7,Currently Safe Republican,7,7
2020,Alabama,AL,2,rep,Solid R,7,Currently Safe Republican,7,7
2020,Alabama,AL,3,rep,Solid R,7,Currently Safe Republican,7,7
2020,Alabama,AL,4,rep,Solid R,7,Currently Safe Republican,7,7
2020,Alabama,AL,5,rep,Solid R,7,Currently Safe Republican,7,7
2020,Alabama,AL,6,rep,Solid R,7,Currently Safe Republican,7,7
2022,Alabama,AL,1,rep,Solid R,7,Currently Safe Republican,7,7
2022,Alabama,AL,2,rep,Solid R,7,Currently Safe Republican,7,7
2022,Alabama,AL,3,rep,Solid R,7,Currently Safe Republican,7,7
2022,Alabama,AL,4,rep,Solid R,7,Currently Safe Republican,7,7
2022,Alabama,AL,5,rep,Solid R,7,Currently Safe Republican,7,7
2022,Alabama,AL,6,rep,Solid R,7,Currently Safe Republican,7,7
2008,Alabama,AL,5,dem,Tossup D,3.5,NA,NA,3.5
2008,Alabama,AL,2,rep,Tossup R,4.5,NA,NA,4.5
2014,Arkansas,AR,4,rep,Lean R,5,Republican Favored,6,5.5
2012,Arkansas,AR,4,dem,Likely R,5,Currently Safe Republican,7,6
2018,Arkansas,AR,2,rep,Likely R,5,Republican Favored,6,5.5
2008,Arkansas,AR,1,dem,Solid D,1,NA,NA,1
2008,Arkansas,AR,2,dem,Solid D,1,NA,NA,1
2008,Arkansas,AR,4,dem,Solid D,1,NA,NA,1
2008,Arkansas,AR,3,rep,Solid R,7,NA,NA,7
2012,Arkansas,AR,1,rep,Solid R,7,Currently Safe Republican,7,7
2012,Arkansas,AR,2,rep,Solid R,7,Currently Safe Republican,7,7
2012,Arkansas,AR,3,rep,Solid R,7,Currently Safe Republican,7,7
2014,Arkansas,AR,1,rep,Solid R,7,Currently Safe Republican,7,7
2014,Arkansas,AR,3,rep,Solid R,7,Currently Safe Republican,7,7
2016,Arkansas,AR,1,rep,Solid R,7,Currently Safe Republican,7,7
2016,Arkansas,AR,2,rep,Solid R,7,Currently Safe Republican,7,7
2016,Arkansas,AR,3,rep,Solid R,7,Currently Safe Republican,7,7
2016,Arkansas,AR,4,rep,Solid R,7,Currently Safe Republican,7,7
2018,Arkansas,AR,1,rep,Solid R,7,Currently Safe Republican,7,7
2018,Arkansas,AR,3,rep,Solid R,7,Currently Safe Republican,7,7
2018,Arkansas,AR,4,rep,Solid R,7,Currently Safe Republican,7,7
2020,Arkansas,AR,1,rep,Solid R,7,Currently Safe Republican,7,7
2020,Arkansas,AR,3,rep,Solid R,7,Currently Safe Republican,7,7
2020,Arkansas,AR,4,rep,Solid R,7,Currently Safe Republican,7,7
2022,Arkansas,AR,1,rep,Solid R,7,Currently Safe Republican,7,7
2022,Arkansas,AR,2,rep,Solid R,7,Currently Safe Republican,7,7
2022,Arkansas,AR,3,rep,Solid R,7,Currently Safe Republican,7,7
2022,Arkansas,AR,4,rep,Solid R,7,Currently Safe Republican,7,7
2014,Arkansas,AR,2,rep,Tossup R,4.5,Toss-up/Tilt Republican,4.5,4.5
2020,Arkansas,AR,2,rep,Tossup R,4.5,Pure Toss-up,4,4.25
2012,Arizona,AZ,2,dem,Lean D,3,Toss-up/Tilt Democrat,3.5,3.25
2012,Arizona,AZ,9,dem,Lean D,3,Toss-up/Tilt Democrat,3.5,3.25
2014,Arizona,AZ,9,dem,Lean D,3,Democrat Favored,2,2.5
2016,Arizona,AZ,1,dem,Lean D,3,Lean Democrat,3,3
2018,Arizona,AZ,1,dem,Lean D,3,Lean Democrat,3,3
2018,Arizona,AZ,2,rep,Lean D,3,Lean Democrat,3,3
2020,Arizona,AZ,1,dem,Lean D,3,Democrat Favored,2,2.5
2008,Arizona,AZ,3,rep,Lean R,5,NA,NA,5
2022,Arizona,AZ,2,dem,Lean R,5,Lean Republican,5,5
2022,Arizona,AZ,6,dem,Lean R,5,Toss-up/Tilt Republican,4.5,4.75
2008,Arizona,AZ,1,rep,Likely D,2,NA,NA,2
2008,Arizona,AZ,5,dem,Likely D,2,NA,NA,2
2008,Arizona,AZ,8,dem,Likely D,2,NA,NA,2
2022,Arizona,AZ,4,dem,Likely D,2,Democrat Favored,2,2
2016,Arizona,AZ,2,rep,Likely R,5,Currently Safe Republican,7,6
2018,Arizona,AZ,6,rep,Likely R,5,Currently Safe Republican,7,6
2018,Arizona,AZ,8,rep,Likely R,5,Republican Favored,6,5.5
2008,Arizona,AZ,4,dem,Solid D,1,NA,NA,1
2008,Arizona,AZ,7,dem,Solid D,1,NA,NA,1
2012,Arizona,AZ,3,dem,Solid D,1,Currently Safe Democrat,1,1
2012,Arizona,AZ,7,dem,Solid D,1,Currently Safe Democrat,1,1
2014,Arizona,AZ,3,dem,Solid D,1,Currently Safe Democrat,1,1
2014,Arizona,AZ,7,dem,Solid D,1,Currently Safe Democrat,1,1
2016,Arizona,AZ,3,dem,Solid D,1,Currently Safe Democrat,1,1
2016,Arizona,AZ,7,dem,Solid D,1,Currently Safe Democrat,1,1
2016,Arizona,AZ,9,dem,Solid D,1,Currently Safe Democrat,1,1
2018,Arizona,AZ,3,dem,Solid D,1,Currently Safe Democrat,1,1
2018,Arizona,AZ,7,dem,Solid D,1,Currently Safe Democrat,1,1
2018,Arizona,AZ,9,dem,Solid D,1,Currently Safe Democrat,1,1
2020,Arizona,AZ,2,dem,Solid D,1,Currently Safe Democrat,1,1
2020,Arizona,AZ,3,dem,Solid D,1,Currently Safe Democrat,1,1
2020,Arizona,AZ,7,dem,Solid D,1,Currently Safe Democrat,1,1
2020,Arizona,AZ,9,dem,Solid D,1,Currently Safe Democrat,1,1
2022,Arizona,AZ,3,dem,Solid D,1,Currently Safe Democrat,1,1
2022,Arizona,AZ,7,dem,Solid D,1,Currently Safe Democrat,1,1
2008,Arizona,AZ,2,rep,Solid R,7,NA,NA,7
2008,Arizona,AZ,6,rep,Solid R,7,NA,NA,7
2012,Arizona,AZ,4,rep,Solid R,7,Currently Safe Republican,7,7
2012,Arizona,AZ,5,rep,Solid R,7,Currently Safe Republican,7,7
2012,Arizona,AZ,6,rep,Solid R,7,Currently Safe Republican,7,7
2012,Arizona,AZ,8,rep,Solid R,7,Currently Safe Republican,7,7
2014,Arizona,AZ,4,rep,Solid R,7,Currently Safe Republican,7,7
2014,Arizona,AZ,5,rep,Solid R,7,Currently Safe Republican,7,7
2014,Arizona,AZ,6,rep,Solid R,7,Currently Safe Republican,7,7
2014,Arizona,AZ,8,rep,Solid R,7,Currently Safe Republican,7,7
2016,Arizona,AZ,4,rep,Solid R,7,Currently Safe Republican,7,7
2016,Arizona,AZ,5,rep,Solid R,7,Currently Safe Republican,7,7
2016,Arizona,AZ,6,rep,Solid R,7,Currently Safe Republican,7,7
2016,Arizona,AZ,8,rep,Solid R,7,Currently Safe Republican,7,7
2018,Arizona,AZ,4,rep,Solid R,7,Currently Safe Republican,7,7
2018,Arizona,AZ,5,rep,Solid R,7,Currently Safe Republican,7,7
2020,Arizona,AZ,4,rep,Solid R,7,Currently Safe Republican,7,7
2020,Arizona,AZ,5,rep,Solid R,7,Currently Safe Republican,7,7
2020,Arizona,AZ,8,rep,Solid R,7,Currently Safe Republican,7,7
2022,Arizona,AZ,5,rep,Solid R,7,Currently Safe Republican,7,7
2022,Arizona,AZ,8,rep,Solid R,7,Currently Safe Republican,7,7
2022,Arizona,AZ,9,rep,Solid R,7,Currently Safe Republican,7,7
2014,Arizona,AZ,1,dem,Tossup D,3.5,Pure Toss-up,4,3.75
2014,Arizona,AZ,2,dem,Tossup D,3.5,Pure Toss-up,4,3.75
2012,Arizona,AZ,1,rep,Tossup R,4.5,Pure Toss-up,4,4.25
2020,Arizona,AZ,6,rep,Tossup R,4.5,Pure Toss-up,4,4.25
2022,Arizona,AZ,1,rep,Tossup R,4.5,Lean Republican,5,4.75
2008,California,CA,11,dem,Lean D,3,NA,NA,3
2012,California,CA,24,dem,Lean D,3,Toss-up/Tilt Democrat,3.5,3.25
2012,California,CA,41,dem,Lean D,3,Lean Democrat,3,3
2014,California,CA,31,rep,Lean D,3,Lean Democrat,3,3
2014,California,CA,36,dem,Lean D,3,Currently Safe Democrat,1,2
2016,California,CA,7,dem,Lean D,3,Lean Democrat,3,3
2016,California,CA,24,dem,Lean D,3,Democrat Favored,2,2.5
2020,California,CA,48,dem,Lean D,3,Lean Democrat,3,3
2022,California,CA,9,dem,Lean D,3,Democrat Favored,2,2.5
2022,California,CA,26,dem,Lean D,3,Democrat Favored,2,2.5
2008,California,CA,50,rep,Lean R,5,NA,NA,5
2014,California,CA,21,rep,Lean R,5,Republican Favored,6,5.5
2016,California,CA,21,rep,Lean R,5,Republican Favored,6,5.5
2018,California,CA,50,rep,Lean R,5,Lean Republican,5,5
2020,California,CA,50,rep,Lean R,5,Republican Favored,6,5.5
2022,California,CA,41,rep,Lean R,5,Currently Safe Republican,7,6
2022,California,CA,45,rep,Lean R,5,Lean Republican,5,5
2012,California,CA,3,dem,Likely D,2,Currently Safe Democrat,1,1.5
2012,California,CA,47,dem,Likely D,2,Democrat Favored,2,2
2014,California,CA,3,dem,Likely D,2,Currently Safe Democrat,1,1.5
2014,California,CA,24,dem,Likely D,2,Democrat Favored,2,2
2018,California,CA,7,dem,Likely D,2,Currently Safe Democrat,1,1.5
2018,California,CA,16,dem,Likely D,2,Currently Safe Democrat,1,1.5
2018,California,CA,49,rep,Likely D,2,Lean Democrat,3,2.5
2020,California,CA,10,dem,Likely D,2,Currently Safe Democrat,1,1.5
2020,California,CA,39,dem,Likely D,2,Democrat Favored,2,2
2008,California,CA,3,rep,Likely R,5,NA,NA,5
2008,California,CA,26,rep,Likely R,5,NA,NA,5
2008,California,CA,45,rep,Likely R,5,NA,NA,5
2008,California,CA,46,rep,Likely R,5,NA,NA,5
2012,California,CA,21,rep,Likely R,5,Currently Safe Republican,7,6
2018,California,CA,1,rep,Likely R,5,Currently Safe Republican,7,6
2018,California,CA,4,rep,Likely R,5,Republican Favored,6,5.5
2018,California,CA,21,rep,Likely R,5,Republican Favored,6,5.5
2018,California,CA,22,rep,Likely R,5,Currently Safe Republican,7,6
2020,California,CA,4,rep,Likely R,5,Currently Safe Republican,7,6
2020,California,CA,22,rep,Likely R,5,Currently Safe Republican,7,6
2022,California,CA,3,rep,Likely R,5,Republican Favored,6,5.5
2022,California,CA,40,rep,Likely R,5,Republican Favored,6,5.5
2008,California,CA,1,dem,Solid D,1,NA,NA,1
2008,California,CA,5,dem,Solid D,1,NA,NA,1
2008,California,CA,6,dem,Solid D,1,NA,NA,1
2008,California,CA,7,dem,Solid D,1,NA,NA,1
2008,California,CA,8,dem,Solid D,1,NA,NA,1
2008,California,CA,9,dem,Solid D,1,NA,NA,1
2008,California,CA,10,dem,Solid D,1,NA,NA,1
2008,California,CA,12,dem,Solid D,1,NA,NA,1
2008,California,CA,13,dem,Solid D,1,NA,NA,1
2008,California,CA,14,dem,Solid D,1,NA,NA,1
2008,California,CA,15,dem,Solid D,1,NA,NA,1
2008,California,CA,16,dem,Solid D,1,NA,NA,1
2008,California,CA,17,dem,Solid D,1,NA,NA,1
2008,California,CA,18,dem,Solid D,1,NA,NA,1
2008,California,CA,20,dem,Solid D,1,NA,NA,1
2008,California,CA,23,dem,Solid D,1,NA,NA,1
2008,California,CA,27,dem,Solid D,1,NA,NA,1
2008,California,CA,28,dem,Solid D,1,NA,NA,1
2008,California,CA,29,dem,Solid D,1,NA,NA,1
2008,California,CA,30,dem,Solid D,1,NA,NA,1
2008,California,CA,31,dem,Solid D,1,NA,NA,1
2008,California,CA,33,dem,Solid D,1,NA,NA,1
2008,California,CA,34,dem,Solid D,1,NA,NA,1
2008,California,CA,35,dem,Solid D,1,NA,NA,1
2008,California,CA,36,dem,Solid D,1,NA,NA,1
2008,California,CA,38,dem,Solid D,1,NA,NA,1
2008,California,CA,39,dem,Solid D,1,NA,NA,1
2008,California,CA,43,dem,Solid D,1,NA,NA,1
2008,California,CA,47,dem,Solid D,1,NA,NA,1
2008,California,CA,51,dem,Solid D,1,NA,NA,1
2008,California,CA,53,dem,Solid D,1,NA,NA,1
2012,California,CA,2,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,5,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,6,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,11,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,12,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,13,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,14,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,15,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,16,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,17,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,18,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,19,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,20,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,27,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,28,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,29,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,30,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,32,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,33,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,34,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,35,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,37,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,38,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,40,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,43,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,44,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,46,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,51,dem,Solid D,1,Currently Safe Democrat,1,1
2012,California,CA,53,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,2,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,5,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,6,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,9,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,11,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,12,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,13,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,14,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,15,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,16,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,17,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,18,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,19,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,20,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,27,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,28,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,29,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,30,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,32,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,33,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,34,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,35,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,37,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,38,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,40,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,41,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,43,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,44,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,46,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,47,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,51,dem,Solid D,1,Currently Safe Democrat,1,1
2014,California,CA,53,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,2,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,3,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,5,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,6,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,9,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,11,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,12,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,13,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,14,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,15,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,16,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,17,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,18,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,19,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,20,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,26,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,27,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,28,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,29,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,30,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,31,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,32,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,33,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,34,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,35,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,36,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,37,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,38,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,40,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,41,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,43,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,44,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,46,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,47,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,51,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,52,dem,Solid D,1,Currently Safe Democrat,1,1
2016,California,CA,53,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,2,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,3,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,5,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,6,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,9,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,11,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,12,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,13,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,14,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,15,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,17,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,18,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,19,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,20,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,24,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,26,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,27,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,28,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,29,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,30,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,31,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,32,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,33,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,34,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,35,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,36,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,37,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,38,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,40,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,41,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,43,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,44,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,46,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,47,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,51,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,52,dem,Solid D,1,Currently Safe Democrat,1,1
2018,California,CA,53,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,2,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,3,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,5,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,6,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,7,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,9,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,11,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,12,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,13,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,14,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,15,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,16,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,17,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,18,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,19,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,20,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,24,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,26,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,27,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,28,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,29,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,30,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,31,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,32,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,33,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,34,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,35,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,36,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,37,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,38,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,40,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,41,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,43,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,44,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,45,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,46,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,47,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,49,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,51,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,52,dem,Solid D,1,Currently Safe Democrat,1,1
2020,California,CA,53,dem,Solid D,1,Currently Safe Democrat,1,1
2022,California,CA,2,dem,Solid D,1,Currently Safe Democrat,1,1
2022,California,CA,4,dem,Solid D,1,Currently Safe Democrat,1,1
2022,California,CA,6,dem,Solid D,1,Currently Safe Democrat,1,1
2022,California,CA,7,dem,Solid D,1,Currently Safe Democrat,1,1
