,year,state,district,inc_party,is_open,description,,ie_num
114,2010,GA,4,Democrat,0,Currently Safe Democrat,,1
115,2010,GA,5,Democrat,0,Currently Safe Democrat,,1
122,2010,GA,12,Democrat,0,Currently Safe Democrat,,1
123,2010,GA,13,Democrat,0,Currently Safe Democrat,,1
125,2010,HI,2,Democrat,0,Currently Safe Democrat,,1
128,2010,IL,1,Democrat,0,Currently Safe Democrat,,1
129,2010,IL,2,Democrat,0,Currently Safe Democrat,,1
130,2010,IL,3,Democrat,0,Currently Safe Democrat,,1
131,2010,IL,4,Democrat,0,Currently Safe Democrat,,1
132,2010,IL,5,Democrat,0,Currently Safe Democrat,,1
134,2010,IL,7,Democrat,0,Currently Safe Democrat,,1
135,2010,IL,8,Democrat,0,Currently Safe Democrat,,1
136,2010,IL,9,Democrat,0,Currently Safe Democrat,,1
139,2010,IL,12,Democrat,0,Currently Safe Democrat,,1
147,2010,IN,1,Democrat,0,Currently Safe Democrat,,1
153,2010,IN,7,Democrat,0,Currently Safe Democrat,,1
181,2010,MD,2,Democrat,0,Currently Safe Democrat,,1
182,2010,MD,3,Democrat,0,Currently Safe Democrat,,1
183,2010,MD,4,Democrat,0,Currently Safe Democrat,,1
184,2010,MD,5,Democrat,0,Currently Safe Democrat,,1
186,2010,MD,7,Democrat,0,Currently Safe Democrat,,1
187,2010,MD,8,Democrat,0,Currently Safe Democrat,,1
188,2010,MA,1,Democrat,0,Currently Safe Democrat,,1
189,2010,MA,2,Democrat,0,Currently Safe Democrat,,1
190,2010,MA,3,Democrat,0,Currently Safe Democrat,,1
191,2010,MA,4,Democrat,0,Currently Safe Democrat,,1
192,2010,MA,5,Democrat,0,Currently Safe Democrat,,1
193,2010,MA,6,Democrat,0,Currently Safe Democrat,,1
194,2010,MA,7,Democrat,0,Currently Safe Democrat,,1
195,2010,MA,8,Democrat,0,Currently Safe Democrat,,1
196,2010,MA,9,Democrat,0,Currently Safe Democrat,,1
202,2010,MI,5,Democrat,0,Currently Safe Democrat,,1
209,2010,MI,12,Democrat,0,Currently Safe Democrat,,1
210,2010,MI,13,Democrat,0,Currently Safe Democrat,,1
211,2010,MI,14,Democrat,0,Currently Safe Democrat,,1
212,2010,MI,15,Democrat,0,Currently Safe Democrat,,1
216,2010,MN,4,Democrat,0,Currently Safe Democrat,,1
217,2010,MN,5,Democrat,0,Currently Safe Democrat,,1
219,2010,MN,7,Democrat,0,Currently Safe Democrat,,1
222,2010,MS,2,Democrat,0,Currently Safe Democrat,,1
225,2010,MO,1,Democrat,0,Currently Safe Democrat,,1
229,2010,MO,5,Democrat,0,Currently Safe Democrat,,1
238,2010,NV,1,Democrat,0,Currently Safe Democrat,,1
243,2010,NJ,1,Democrat,0,Currently Safe Democrat,,1
248,2010,NJ,6,Democrat,0,Currently Safe Democrat,,1
250,2010,NJ,8,Democrat,0,Currently Safe Democrat,,1
251,2010,NJ,9,Democrat,0,Currently Safe Democrat,,1
252,2010,NJ,10,Democrat,0,Currently Safe Democrat,,1
254,2010,NJ,12,Democrat,0,Currently Safe Democrat,,1
255,2010,NJ,13,Democrat,0,Currently Safe Democrat,,1
258,2010,NM,3,Democrat,0,Currently Safe Democrat,,1
260,2010,NY,2,Democrat,0,Currently Safe Democrat,,1
262,2010,NY,4,Democrat,0,Currently Safe Democrat,,1
263,2010,NY,5,Democrat,0,Currently Safe Democrat,,1
264,2010,NY,6,Democrat,0,Currently Safe Democrat,,1
265,2010,NY,7,Democrat,0,Currently Safe Democrat,,1
266,2010,NY,8,Democrat,0,Currently Safe Democrat,,1
267,2010,NY,9,Democrat,0,Currently Safe Democrat,,1
268,2010,NY,10,Democrat,0,Currently Safe Democrat,,1
269,2010,NY,11,Democrat,0,Currently Safe Democrat,,1
270,2010,NY,12,Democrat,0,Currently Safe Democrat,,1
272,2010,NY,14,Democrat,0,Currently Safe Democrat,,1
273,2010,NY,15,Democrat,0,Currently Safe Democrat,,1
274,2010,NY,16,Democrat,0,Currently Safe Democrat,,1
275,2010,NY,17,Democrat,0,Currently Safe Democrat,,1
276,2010,NY,18,Democrat,0,Currently Safe Democrat,,1
279,2010,NY,21,Democrat,0,Currently Safe Democrat,,1
280,2010,NY,22,Democrat,0,Currently Safe Democrat,,1
285,2010,NY,27,Democrat,0,Currently Safe Democrat,,1
286,2010,NY,28,Democrat,0,Currently Safe Democrat,,1
288,2010,NC,1,Democrat,0,Currently Safe Democrat,,1
291,2010,NC,4,Democrat,0,Currently Safe Democrat,,1
299,2010,NC,12,Democrat,0,Currently Safe Democrat,,1
300,2010,NC,13,Democrat,0,Currently Safe Democrat,,1
310,2010,OH,9,Democrat,0,Currently Safe Democrat,,1
311,2010,OH,10,Democrat,0,Currently Safe Democrat,,1
312,2010,OH,11,Democrat,0,Currently Safe Democrat,,1
318,2010,OH,17,Democrat,0,Currently Safe Democrat,,1
321,2010,OK,2,Democrat,0,Currently Safe Democrat,,1
325,2010,OR,1,Democrat,0,Currently Safe Democrat,,1
327,2010,OR,3,Democrat,0,Currently Safe Democrat,,1
328,2010,OR,4,Democrat,0,Currently Safe Democrat,,1
330,2010,PA,1,Democrat,0,Currently Safe Democrat,,1
331,2010,PA,2,Democrat,0,Currently Safe Democrat,,1
342,2010,PA,13,Democrat,0,Currently Safe Democrat,,1
343,2010,PA,14,Democrat,0,Currently Safe Democrat,,1
346,2010,PA,17,Democrat,0,Currently Safe Democrat,,1
350,2010,RI,2,Democrat,0,Currently Safe Democrat,,1
356,2010,SC,6,Democrat,0,Currently Safe Democrat,,1
362,2010,TN,5,Democrat,0,Currently Safe Democrat,,1
366,2010,TN,9,Democrat,0,Currently Safe Democrat,,1
375,2010,TX,9,Democrat,0,Currently Safe Democrat,,1
381,2010,TX,15,Democrat,0,Currently Safe Democrat,,1
382,2010,TX,16,Democrat,0,Currently Safe Democrat,,1
384,2010,TX,18,Democrat,0,Currently Safe Democrat,,1
386,2010,TX,20,Democrat,0,Currently Safe Democrat,,1
391,2010,TX,25,Democrat,0,Currently Safe Democrat,,1
394,2010,TX,28,Democrat,0,Currently Safe Democrat,,1
395,2010,TX,29,Democrat,0,Currently Safe Democrat,,1
396,2010,TX,30,Democrat,0,Currently Safe Democrat,,1
400,2010,UT,2,Democrat,0,Currently Safe Democrat,,1
402,2010,VT,0,Democrat,0,Currently Safe Democrat,,1
405,2010,VA,3,Democrat,0,Currently Safe Democrat,,1
410,2010,VA,8,Democrat,0,Currently Safe Democrat,,1
414,2010,WA,1,Democrat,0,Currently Safe Democrat,,1
419,2010,WA,6,Democrat,0,Currently Safe Democrat,,1
420,2010,WA,7,Democrat,0,Currently Safe Democrat,,1
422,2010,WA,9,Democrat,0,Currently Safe Democrat,,1
425,2010,WV,3,Democrat,0,Currently Safe Democrat,,1
427,2010,WI,2,Democrat,0,Currently Safe Democrat,,1
429,2010,WI,4,Democrat,0,Currently Safe Democrat,,1
441,2012,AL,7,Democrat,0,Currently Safe Democrat,,1
445,2012,AZ,3,Democrat,0,Currently Safe Democrat,,1
449,2012,AZ,7,Democrat,0,Currently Safe Democrat,,1
457,2012,CA,2,Democrat,1,Currently Safe Democrat,,1
458,2012,CA,3,Democrat,0,Currently Safe Democrat,,1
460,2012,CA,5,Democrat,0,Currently Safe Democrat,,1
461,2012,CA,6,Democrat,0,Currently Safe Democrat,,1
466,2012,CA,11,Democrat,0,Currently Safe Democrat,,1
467,2012,CA,12,Democrat,0,Currently Safe Democrat,,1
468,2012,CA,13,Democrat,0,Currently Safe Democrat,,1
469,2012,CA,14,Democrat,0,Currently Safe Democrat,,1
470,2012,CA,15,Democrat,0,Currently Safe Democrat,,1
471,2012,CA,16,Democrat,0,Currently Safe Democrat,,1
472,2012,CA,17,Democrat,0,Currently Safe Democrat,,1
473,2012,CA,18,Democrat,0,Currently Safe Democrat,,1
474,2012,CA,19,Democrat,0,Currently Safe Democrat,,1
475,2012,CA,20,Democrat,0,Currently Safe Democrat,,1
482,2012,CA,27,Democrat,0,Currently Safe Democrat,,1
483,2012,CA,28,Democrat,0,Currently Safe Democrat,,1
484,2012,CA,29,,1,Currently Safe Democrat,,1
485,2012,CA,30,Democrat,0,Currently Safe Democrat,,1
487,2012,CA,32,Democrat,0,Currently Safe Democrat,,1
488,2012,CA,33,Democrat,0,Currently Safe Democrat,,1
489,2012,CA,34,Democrat,0,Currently Safe Democrat,,1
490,2012,CA,35,Democrat,0,Currently Safe Democrat,,1
492,2012,CA,37,Democrat,0,Currently Safe Democrat,,1
493,2012,CA,38,Democrat,0,Currently Safe Democrat,,1
495,2012,CA,40,Democrat,0,Currently Safe Democrat,,1
498,2012,CA,43,Democrat,0,Currently Safe Democrat,,1
499,2012,CA,44,Democrat,0,Currently Safe Democrat,,1
501,2012,CA,46,Democrat,0,Currently Safe Democrat,,1
506,2012,CA,51,Democrat,1,Currently Safe Democrat,,1
508,2012,CA,53,Democrat,0,Currently Safe Democrat,,1
509,2012,CO,1,Democrat,0,Currently Safe Democrat,,1
510,2012,CO,2,Democrat,0,Currently Safe Democrat,,1
516,2012,CT,1,Democrat,0,Currently Safe Democrat,,1
517,2012,CT,2,Democrat,0,Currently Safe Democrat,,1
518,2012,CT,3,Democrat,0,Currently Safe Democrat,,1
519,2012,CT,4,Democrat,0,Currently Safe Democrat,,1
521,2012,DE,0,Democrat,0,Currently Safe Democrat,,1
526,2012,FL,5,Democrat,0,Currently Safe Democrat,,1
530,2012,FL,9,,1,Currently Safe Democrat,,1
535,2012,FL,14,Democrat,0,Currently Safe Democrat,,1
541,2012,FL,20,Democrat,0,Currently Safe Democrat,,1
542,2012,FL,21,Democrat,0,Currently Safe Democrat,,1
544,2012,FL,23,Democrat,0,Currently Safe Democrat,,1
545,2012,FL,24,Democrat,0,Currently Safe Democrat,,1
550,2012,GA,2,Democrat,0,Currently Safe Democrat,,1
552,2012,GA,4,Democrat,0,Currently Safe Democrat,,1
553,2012,GA,5,Democrat,0,Currently Safe Democrat,,1
561,2012,GA,13,Democrat,0,Currently Safe Democrat,,1
563,2012,HI,1,Democrat,0,Currently Safe Democrat,,1
564,2012,HI,2,Democrat,1,Currently Safe Democrat,,1
567,2012,IL,1,Democrat,0,Currently Safe Democrat,,1
568,2012,IL,2,Democrat,0,Currently Safe Democrat,,1
569,2012,IL,3,Democrat,0,Currently Safe Democrat,,1
570,2012,IL,4,Democrat,0,Currently Safe Democrat,,1
571,2012,IL,5,Democrat,0,Currently Safe Democrat,,1
573,2012,IL,7,Democrat,0,Currently Safe Democrat,,1
575,2012,IL,9,Democrat,0,Currently Safe Democrat,,1
585,2012,IN,1,Democrat,0,Currently Safe Democrat,,1
591,2012,IN,7,Democrat,0,Currently Safe Democrat,,1
594,2012,IA,1,Democrat,0,Currently Safe Democrat,,1
604,2012,KY,3,Democrat,0,Currently Safe Democrat,,1
609,2012,LA,2,Democrat,0,Currently Safe Democrat,,1
614,2012,ME,1,Democrat,0,Currently Safe Democrat,,1
615,2012,ME,2,Democrat,0,Currently Safe Democrat,,1
617,2012,MD,2,Democrat,0,Currently Safe Democrat,,1
618,2012,MD,3,Democrat,0,Currently Safe Democrat,,1
619,2012,MD,4,Democrat,0,Currently Safe Democrat,,1
620,2012,MD,5,Democrat,0,Currently Safe Democrat,,1
622,2012,MD,7,Democrat,0,Currently Safe Democrat,,1
623,2012,MD,8,Democrat,0,Currently Safe Democrat,,1
624,2012,MA,1,Democrat,0,Currently Safe Democrat,,1
625,2012,MA,2,Democrat,0,Currently Safe Democrat,,1
626,2012,MA,3,Democrat,0,Currently Safe Democrat,,1
627,2012,MA,4,Democrat,1,Currently Safe Democrat,,1
628,2012,MA,5,Democrat,0,Currently Safe Democrat,,1
630,2012,MA,7,Democrat,0,Currently Safe Democrat,,1
631,2012,MA,8,Democrat,0,Currently Safe Democrat,,1
632,2012,MA,9,Democrat,0,Currently Safe Democrat,,1
637,2012,MI,5,Democrat,1,Currently Safe Democrat,,1
641,2012,MI,9,Democrat,0,Currently Safe Democrat,,1
644,2012,MI,12,Democrat,0,Currently Safe Democrat,,1
645,2012,MI,13,Democrat,0,Currently Safe Democrat,,1
646,2012,MI,14,Democrat,0,Currently Safe Democrat,,1
647,2012,MN,1,Democrat,0,Currently Safe Democrat,,1
650,2012,MN,4,Democrat,0,Currently Safe Democrat,,1
651,2012,MN,5,Democrat,0,Currently Safe Democrat,,1
653,2012,MN,7,Democrat,0,Currently Safe Democrat,,1
656,2012,MS,2,Democrat,0,Currently Safe Democrat,,1
659,2012,MO,1,Democrat,0,Currently Safe Democrat,,1
663,2012,MO,5,Democrat,0,Currently Safe Democrat,,1
671,2012,NV,1,Democrat,1,Currently Safe Democrat,,1
677,2012,NJ,1,Democrat,0,Currently Safe Democrat,,1
682,2012,NJ,6,Democrat,0,Currently Safe Democrat,,1
684,2012,NJ,8,Democrat,0,Currently Safe Democrat,,1
685,2012,NJ,9,Democrat,0,Currently Safe Democrat,,1
686,2012,NJ,10,Democrat,1,Currently Safe Democrat,,1
688,2012,NJ,12,Democrat,0,Currently Safe Democrat,,1
689,2012,NM,1,Democrat,1,Currently Safe Democrat,,1
691,2012,NM,3,Democrat,0,Currently Safe Democrat,,1
694,2012,NY,3,Democrat,0,Currently Safe Democrat,,1
695,2012,NY,4,Democrat,0,Currently Safe Democrat,,1
696,2012,NY,5,Democrat,0,Currently Safe Democrat,,1
697,2012,NY,6,Democrat,1,Currently Safe Democrat,,1
698,2012,NY,7,Democrat,0,Currently Safe Democrat,,1
699,2012,NY,8,Democrat,1,Currently Safe Democrat,,1
700,2012,NY,9,Democrat,0,Currently Safe Democrat,,1
701,2012,NY,10,Democrat,0,Currently Safe Democrat,,1
703,2012,NY,12,Democrat,0,Currently Safe Democrat,,1
704,2012,NY,13,Democrat,0,Currently Safe Democrat,,1
705,2012,NY,14,Democrat,0,Currently Safe Democrat,,1
706,2012,NY,15,Democrat,0,Currently Safe Democrat,,1
707,2012,NY,16,Democrat,0,Currently Safe Democrat,,1
708,2012,NY,17,Democrat,0,Currently Safe Democrat,,1
711,2012,NY,20,Democrat,0,Currently Safe Democrat,,1
717,2012,NY,26,Democrat,0,Currently Safe Democrat,,1
719,2012,NC,1,Democrat,0,Currently Safe Democrat,,1
722,2012,NC,4,Democrat,0,Currently Safe Democrat,,1
730,2012,NC,12,Democrat,0,Currently Safe Democrat,,1
735,2012,OH,3,,1,Currently Safe Democrat,,1
741,2012,OH,9,Democrat,0,Currently Safe Democrat,,1
743,2012,OH,11,Democrat,0,Currently Safe Democrat,,1
745,2012,OH,13,Democrat,0,Currently Safe Democrat,,1
754,2012,OR,1,Democrat,0,Currently Safe Democrat,,1
756,2012,OR,3,Democrat,0,Currently Safe Democrat,,1
757,2012,OR,4,Democrat,0,Currently Safe Democrat,,1
758,2012,OR,5,Democrat,0,Currently Safe Democrat,,1
759,2012,PA,1,Democrat,0,Currently Safe Democrat,,1
760,2012,PA,2,Democrat,0,Currently Safe Democrat,,1
771,2012,PA,13,Democrat,0,Currently Safe Democrat,,1
772,2012,PA,14,Democrat,0,Currently Safe Democrat,,1
775,2012,PA,17,Democrat,1,Currently Safe Democrat,,1
778,2012,RI,2,Democrat,0,Currently Safe Democrat,,1
784,2012,SC,6,Democrat,0,Currently Safe Democrat,,1
791,2012,TN,5,Democrat,0,Currently Safe Democrat,,1
795,2012,TN,9,Democrat,0,Currently Safe Democrat,,1
804,2012,TX,9,Democrat,0,Currently Safe Democrat,,1
810,2012,TX,15,Democrat,0,Currently Safe Democrat,,1
811,2012,TX,16,Democrat,1,Currently Safe Democrat,,1
813,2012,TX,18,Democrat,0,Currently Safe Democrat,,1
815,2012,TX,20,Democrat,1,Currently Safe Democrat,,1
823,2012,TX,28,Democrat,0,Currently Safe Democrat,,1
824,2012,TX,29,Democrat,0,Currently Safe Democrat,,1
825,2012,TX,30,Democrat,0,Currently Safe Democrat,,1
828,2012,TX,33,,1,Currently Safe Democrat,,1
829,2012,TX,34,,1,Currently Safe Democrat,,1
830,2012,TX,35,Democrat,0,Currently Safe Democrat,,1
836,2012,VT,0,Democrat,0,Currently Safe Democrat,,1
839,2012,VA,3,Democrat,0,Currently Safe Democrat,,1
844,2012,VA,8,Democrat,0,Currently Safe Democrat,,1
847,2012,VA,11,Democrat,0,Currently Safe Democrat,,1
849,2012,WA,2,Democrat,0,Currently Safe Democrat,,1
853,2012,WA,6,Democrat,1,Currently Safe Democrat,,1
854,2012,WA,7,Democrat,0,Currently Safe Democrat,,1
856,2012,WA,9,Democrat,0,Currently Safe Democrat,,1
857,2012,WA,10,,1,Currently Safe Democrat,,1
860,2012,WV,3,Democrat,0,Currently Safe Democrat,,1
862,2012,WI,2,Democrat,1,Currently Safe Democrat,,1
863,2012,WI,3,Democrat,0,Currently Safe Democrat,,1
864,2012,WI,4,Democrat,0,Currently Safe Democrat,,1
876,2014,AL,7,Democrat,0,Currently Safe Democrat,,1
880,2014,AZ,3,Democrat,0,Currently Safe Democrat,,1
884,2014,AZ,7,Democrat,1,Currently Safe Democrat,,1
892,2014,CA,2,Democrat,0,Currently Safe Democrat,,1
893,2014,CA,3,Democrat,0,Currently Safe Democrat,,1
895,2014,CA,5,Democrat,0,Currently Safe Democrat,,1
896,2014,CA,6,Democrat,0,Currently Safe Democrat,,1
899,2014,CA,9,Democrat,0,Currently Safe Democrat,,1
901,2014,CA,11,Democrat,1,Currently Safe Democrat,,1
902,2014,CA,12,Democrat,0,Currently Safe Democrat,,1
903,2014,CA,13,Democrat,0,Currently Safe Democrat,,1
904,2014,CA,14,Democrat,0,Currently Safe Democrat,,1
905,2014,CA,15,Democrat,0,Currently Safe Democrat,,1
906,2014,CA,16,Democrat,0,Currently Safe Democrat,,1
907,2014,CA,17,Democrat,0,Currently Safe Democrat,,1
908,2014,CA,18,Democrat,0,Currently Safe Democrat,,1
909,2014,CA,19,Democrat,0,Currently Safe Democrat,,1
910,2014,CA,20,Democrat,0,Currently Safe Democrat,,1
917,2014,CA,27,Democrat,0,Currently Safe Democrat,,1
918,2014,CA,28,Democrat,0,Currently Safe Democrat,,1
919,2014,CA,29,Democrat,0,Currently Safe Democrat,,1
920,2014,CA,30,Democrat,0,Currently Safe Democrat,,1
922,2014,CA,32,Democrat,0,Currently Safe Democrat,,1
923,2014,CA,33,Democrat,0,Currently Safe Democrat,,1
924,2014,CA,34,Democrat,0,Currently Safe Democrat,,1
925,2014,CA,35,Democrat,1,Currently Safe Democrat,,1
926,2014,CA,36,Democrat,0,Currently Safe Democrat,,1
927,2014,CA,37,Democrat,0,Currently Safe Democrat,,1
928,2014,CA,38,Democrat,0,Currently Safe Democrat,,1
930,2014,CA,40,Democrat,0,Currently Safe Democrat,,1
931,2014,CA,41,Democrat,0,Currently Safe Democrat,,1
933,2014,CA,43,Democrat,0,Currently Safe Democrat,,1
934,2014,CA,44,Democrat,0,Currently Safe Democrat,,1
936,2014,CA,46,Democrat,0,Currently Safe Democrat,,1
937,2014,CA,47,Democrat,0,Currently Safe Democrat,,1
941,2014,CA,51,Democrat,0,Currently Safe Democrat,,1
943,2014,CA,53,Democrat,0,Currently Safe Democrat,,1
944,2014,CO,1,Democrat,0,Currently Safe Democrat,,1
945,2014,CO,2,Democrat,0,Currently Safe Democrat,,1
950,2014,CO,7,Democrat,0,Currently Safe Democrat,,1
951,2014,CT,1,Democrat,0,Currently Safe Democrat,,1
952,2014,CT,2,Democrat,0,Currently Safe Democrat,,1
953,2014,CT,3,Democrat,0,Currently Safe Democrat,,1
954,2014,CT,4,Democrat,0,Currently Safe Democrat,,1
955,2014,CT,5,Democrat,0,Currently Safe Democrat,,1
956,2014,DE,0,Democrat,0,Currently Safe Democrat,,1
961,2014,FL,5,Democrat,0,Currently Safe Democrat,,1
965,2014,FL,9,Democrat,0,Currently Safe Democrat,,1
970,2014,FL,14,Democrat,0,Currently Safe Democrat,,1
974,2014,FL,18,Democrat,0,Currently Safe Democrat,,1
976,2014,FL,20,Democrat,0,Currently Safe Democrat,,1
977,2014,FL,21,Democrat,0,Currently Safe Democrat,,1
978,2014,FL,22,Democrat,0,Currently Safe Democrat,,1
979,2014,FL,23,Democrat,0,Currently Safe Democrat,,1
980,2014,FL,24,Democrat,0,Currently Safe Democrat,,1
985,2014,GA,2,Democrat,0,Currently Safe Democrat,,1
987,2014,GA,4,Democrat,0,Currently Safe Democrat,,1
988,2014,GA,5,Democrat,0,Currently Safe Democrat,,1
996,2014,GA,13,Democrat,1,Currently Safe Democrat,,1
999,2014,HI,2,Democrat,0,Currently Safe Democrat,,1
1002,2014,IL,1,Democrat,0,Currently Safe Democrat,,1
1003,2014,IL,2,Democrat,0,Currently Safe Democrat,,1
1004,2014,IL,3,Democrat,0,Currently Safe Democrat,,1
1005,2014,IL,4,Democrat,0,Currently Safe Democrat,,1
1006,2014,IL,5,Democrat,0,Currently Safe Democrat,,1
1008,2014,IL,7,Democrat,0,Currently Safe Democrat,,1
1009,2014,IL,8,Democrat,0,Currently Safe Democrat,,1
1010,2014,IL,9,Democrat,0,Currently Safe Democrat,,1
1012,2014,IL,11,Democrat,0,Currently Safe Democrat,,1
1020,2014,IN,1,Democrat,0,Currently Safe Democrat,,1
1026,2014,IN,7,Democrat,0,Currently Safe Democrat,,1
1039,2014,KY,3,Democrat,0,Currently Safe Democrat,,1
1044,2014,LA,2,Democrat,0,Currently Safe Democrat,,1
1049,2014,ME,1,Democrat,0,Currently Safe Democrat,,1
1052,2014,MD,2,Democrat,0,Currently Safe Democrat,,1
1053,2014,MD,3,Democrat,0,Currently Safe Democrat,,1
1054,2014,MD,4,Democrat,0,Currently Safe Democrat,,1
1055,2014,MD,5,Democrat,0,Currently Safe Democrat,,1
1056,2014,MD,6,Democrat,0,Currently Safe Democrat,,1
1057,2014,MD,7,Democrat,0,Currently Safe Democrat,,1
1058,2014,MD,8,Democrat,0,Currently Safe Democrat,,1
1059,2014,MA,1,Democrat,0,Currently Safe Democrat,,1
1060,2014,MA,2,Democrat,0,Currently Safe Democrat,,1
1061,2014,MA,3,Democrat,0,Currently Safe Democrat,,1
1062,2014,MA,4,Democrat,0,Currently Safe Democrat,,1
1063,2014,MA,5,Democrat,0,Currently Safe Democrat,,1
1065,2014,MA,7,Democrat,0,Currently Safe Democrat,,1
1066,2014,MA,8,Democrat,0,Currently Safe Democrat,,1
1072,2014,MI,5,Democrat,0,Currently Safe Democrat,,1
1076,2014,MI,9,Democrat,0,Currently Safe Democrat,,1
1079,2014,MI,12,Democrat,1,Currently Safe Democrat,,1
1080,2014,MI,13,Democrat,0,Currently Safe Democrat,,1
1081,2014,MI,14,Democrat,1,Currently Safe Democrat,,1
1082,2014,MN,1,Democrat,0,Currently Safe Democrat,,1
1085,2014,MN,4,Democrat,0,Currently Safe Democrat,,1
1086,2014,MN,5,Democrat,0,Currently Safe Democrat,,1
1091,2014,MS,2,Democrat,0,Currently Safe Democrat,,1
1094,2014,MO,1,Democrat,0,Currently Safe Democrat,,1
1098,2014,MO,5,Democrat,0,Currently Safe Democrat,,1
1106,2014,NV,1,Democrat,0,Currently Safe Democrat,,1
1112,2014,NJ,1,Democrat,1,Currently Safe Democrat,,1
1117,2014,NJ,6,Democrat,0,Currently Safe Democrat,,1
1119,2014,NJ,8,Democrat,0,Currently Safe Democrat,,1
1120,2014,NJ,9,Democrat,0,Currently Safe Democrat,,1
1121,2014,NJ,10,Democrat,0,Currently Safe Democrat,,1
1123,2014,NJ,12,Democrat,1,Currently Safe Democrat,,1
1124,2014,NM,1,Democrat,0,Currently Safe Democrat,,1
1126,2014,NM,3,Democrat,0,Currently Safe Democrat,,1
1129,2014,NY,3,Democrat,0,Currently Safe Democrat,,1
1130,2014,NY,4,Democrat,1,Currently Safe Democrat,,1
1131,2014,NY,5,Democrat,0,Currently Safe Democrat,,1
1132,2014,NY,6,Democrat,0,Currently Safe Democrat,,1
1133,2014,NY,7,Democrat,0,Currently Safe Democrat,,1
1134,2014,NY,8,Democrat,0,Currently Safe Democrat,,1
1135,2014,NY,9,Democrat,0,Currently Safe Democrat,,1
1136,2014,NY,10,Democrat,0,Currently Safe Democrat,,1
1138,2014,NY,12,Democrat,0,Currently Safe Democrat,,1
1139,2014,NY,13,Democrat,0,Currently Safe Democrat,,1
1140,2014,NY,14,Democrat,0,Currently Safe Democrat,,1
1141,2014,NY,15,Democrat,0,Currently Safe Democrat,,1
1142,2014,NY,16,Democrat,0,Currently Safe Democrat,,1
1143,2014,NY,17,Democrat,0,Currently Safe Democrat,,1
1146,2014,NY,20,Democrat,0,Currently Safe Democrat,,1
1151,2014,NY,25,Democrat,0,Currently Safe Democrat,,1
1152,2014,NY,26,Democrat,0,Currently Safe Democrat,,1
1154,2014,NC,1,Democrat,0,Currently Safe Democrat,,1
1157,2014,NC,4,Democrat,0,Currently Safe Democrat,,1
1165,2014,NC,12,Democrat,1,Currently Safe Democrat,,1
1170,2014,OH,3,Democrat,0,Currently Safe Democrat,,1
